detector,n_train,nu,n_dim,cov_rho,snr_db,n_seeds,pfa,auc_mean,auc_std,pd_mean,pd_std
oracle_amf,2000,3.0,16,0.9,10.0,5,0.01,0.775746,0.002040,0.044201,0.003541
oracle_t_rao,2000,3.0,16,0.9,10.0,5,0.01,0.774001,0.001966,0.158091,0.006751
tyler_amf,2000,3.0,16,0.9,10.0,5,0.01,0.775620,0.002141,0.044744,0.003567
linear_mse,2000,3.0,16,0.9,10.0,5,0.01,0.766943,0.001608,0.038916,0.001976
fixed_weight,2000,3.0,16,0.9,10.0,5,0.01,0.643959,0.004462,0.031185,0.002763
two_branch,2000,3.0,16,0.9,10.0,5,0.01,0.768011,0.001922,0.042941,0.004823
