detector,n_dim,nu,cov_rho,n_train,n_seeds,pfa,pd_mean_snr1,pd_mean_snr3,pd_mean_snr5,pd_mean_snr10,pd_mean_snr15,pd_mean_snr20,pd_std_snr1,pd_std_snr3,pd_std_snr5,pd_std_snr10,pd_std_snr15,pd_std_snr20
oracle_amf,64,3.0,0.9,50000,5,0.01,0.019686,0.024309,0.032885,0.119984,0.803658,0.993393,0.001350,0.001862,0.002419,0.011415,0.019428,0.000469
oracle_t_rao,64,3.0,0.9,50000,5,0.01,0.116476,0.162913,0.226484,0.436679,0.633937,0.750527,0.004556,0.004707,0.005367,0.007850,0.005723,0.005087
oracle_t_glrt,64,3.0,0.9,50000,5,0.01,0.112020,0.173532,0.268969,0.622843,0.887381,0.975989,0.003794,0.005510,0.006243,0.007619,0.001450,0.001117
tyler_amf,64,3.0,0.9,50000,5,0.01,0.019854,0.024718,0.033394,0.119861,0.798259,0.993337,0.001725,0.002504,0.003472,0.015375,0.029332,0.000531
linear_mse,64,3.0,0.9,50000,5,0.01,0.019609,0.024375,0.032488,0.117922,0.793681,0.993258,0.001719,0.002288,0.003109,0.015995,0.030388,0.000706
fixed_weight,64,3.0,0.9,50000,5,0.01,0.076232,0.112315,0.167120,0.398305,0.663247,0.830699,0.015962,0.024929,0.038495,0.075966,0.067420,0.036720
two_branch,64,3.0,0.9,50000,5,0.01,0.074194,0.117426,0.198073,0.619093,0.865493,0.931124,0.003700,0.006117,0.007573,0.005888,0.002032,0.003475
