detector,n_dim,nu,cov_rho,n_train,n_seeds,pfa,pd_mean_snr1,pd_mean_snr3,pd_mean_snr5,pd_mean_snr10,pd_mean_snr15,pd_mean_snr20,pd_std_snr1,pd_std_snr3,pd_std_snr5,pd_std_snr10,pd_std_snr15,pd_std_snr20
oracle_amf,64,3.0,0.9,50000,5,0.01,0.015333,0.018877,0.025562,0.093424,0.598527,0.985855,0.010996,0.013789,0.017752,0.067784,0.289656,0.018788
oracle_t_rao,64,3.0,0.9,50000,5,0.01,0.085600,0.133331,0.194564,0.387087,0.591284,0.714831,0.021359,0.022542,0.026843,0.031005,0.041077,0.041840
oracle_t_glrt,64,3.0,0.9,50000,5,0.01,0.106604,0.161831,0.262587,0.628297,0.890620,0.974933,0.010986,0.023026,0.028882,0.022215,0.020187,0.004801
tyler_amf,64,3.0,0.9,50000,5,0.01,0.012987,0.018070,0.025126,0.075311,0.549898,0.981527,0.009034,0.011176,0.015842,0.046271,0.307240,0.023026
linear_mse,64,3.0,0.9,50000,5,0.01,0.016523,0.020058,0.026737,0.097430,0.602548,0.990185,0.011975,0.013891,0.018242,0.074814,0.253605,0.011287
fixed_weight,64,3.0,0.9,50000,5,0.01,0.055650,0.087771,0.140429,0.360720,0.633442,0.813734,0.018970,0.028692,0.050268,0.098521,0.106835,0.072937
two_branch,64,3.0,0.9,50000,5,0.01,0.074243,0.114989,0.199924,0.631203,0.866655,0.932174,0.018290,0.021758,0.028925,0.032918,0.016925,0.012069
