detector,n_train,nu,n_dim,cov_rho,snr_db,n_seeds,pfa,auc_mean,auc_std,pd_mean,pd_std
oracle_amf,50000,3.0,16,0.9,10.0,5,0.01,0.775746,0.002040,0.044201,0.003541
oracle_t_rao,50000,3.0,16,0.9,10.0,5,0.01,0.774001,0.001966,0.158091,0.006751
tyler_amf,50000,3.0,16,0.9,10.0,5,0.01,0.775620,0.002141,0.044744,0.003567
linear_mse,50000,3.0,16,0.9,10.0,5,0.01,0.775129,0.001831,0.043646,0.004237
fixed_weight,50000,3.0,16,0.9,10.0,5,0.01,0.782942,0.002536,0.226046,0.006066
two_branch,50000,3.0,16,0.9,10.0,5,0.01,0.785913,0.001753,0.199340,0.004729
