run_id,theta_mode,nu,n_dim,cov_rho,n_train,n_test,pfa,detector,snr_train_db,auc,pd_at_pfa
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,10,0.938100,0.143134
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,10,0.907191,0.315233
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,10,0.942703,0.601138
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,scm,10,0.933885,0.124859
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,tyler,10,0.937875,0.142488
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,huber,10,0.937875,0.142488
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,linear_mse,10,0.931323,0.114330
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,linear_huber,10,0.933453,0.127804
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,two_branch,10,0.945642,0.595207
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,two_branch_low_sigma,10,0.908893,0.339761
